521,256
738,390
534,240
736,361
821,40
241,115
115,56
112,46
374,380
400,121
351,174
421,198
50,24
10,20
256,120
521,540
314,140
98,40
413,410
57,31
91,47
47,21
48,21
631,650
112,56
98,47
535,540
315,147
213,210
860,414
421,175
145,63
613,305
340,127
125,47
714,720
117,36
143,71
123,57
100,53
200,98
856,880
301,143
536,138
160,74
187,82
46,14
118,49
50,19
174,64
175,81
159,49
108,53
186,67
126,48
415,409
43,20
159,70
394,89
196,66
188,87
95,33
209,65
177,64
208,95
116,46
201,69
196,90
380,385
60,23
73,25
214,60
55,23
493,232
94,33
159,50
194,82
161,69
155,76
208,83
109,39
86,30
21,9
54,24
360,128
163,73
195,77
180,49
161,74
46,16
73,34
174,85
187,189
127,38
29,8
37,10
140,62
62,31
69,25
120,35
